GRB	BAT T90 [sec]
140719B	53.0
140719A	48
140716A	104
140713A	5.30
140710A	3.52
140709B	155.0
140709A	98.6
140706A	48.3
140703A	67.1
140629A	42.0
140628A	10.5
140626A	16.4
140622A	0.13
140619A	233.9
140614C	n/a
140614B	49.8
140614A	720
140611A	1.9
140610A	n/a
140607A	109.9
140606A	0.34
140529A	4.5
140521A	9.88
140518A	60.5
140516A	0.19
140515A	23.4
140512A	154.8
140509A	23.20
140506A	111.1
140502A	16.9
140430A	173.6
140428A	17.42
140423A	134
140419A	94.7
140414A	0.7
140413A	139.6
140412A	39.6
140408A	4.00
140402A	0.031
140331A	209
140323A	104.9
140320A	0.45
140318A	8.43
140311B	70
140311A	71.4
140305A	13.7
140304A	15.6
140302A	87.5
140301A	31.0
140215A	84.2
140213A	60.0
140211A	89.4
140209A	21.3
140206A	93.6
140129B	1.36
140129A	2.99
140118A	84.15
140114A	139.7
140108A	94
140103A	17.3
140102A	65
131229A	13.86
131227A	18.0
131226A	7.20
131224B	~9
131205A	37.5
131202A	30.4
131128A	3.00
131127A	92.1
131120A	131
131117A	11.00
131110A	~100
131105A	112.3
131103A	17.3
131031A	n/a
131030A	41.1
131024B	64.00
131024A	112.00
131018A	73.22
131004A	1.54
131002B	39.10
131002A	55.59
131001A	4.9
130929A	11.10
130925A	n/a
130919A	97.3
130913A	n/a
130912A	0.28
130907A	>360
130831B	37.8
130831A	32.5
130829A	42.56
130822A	n/a
130816B	10.00
130816A	29.97
130812A	7.6
130807A	n/a
130806A	6.1
130803A	44
130727A	13.57
130725B	10.0
130725A	101.8
130722A	n/a
130719A	177.7
130716A	n/a
130708A	9
130701A	4.38
130627B	28.6
130627A	30.8
130626A	0.16
130625A	38.1
130623A	15
130615A	304
130612A	4.0
130610A	46.4
130609B	210.6
130609A	7.0
130608A	151.38
130606A	276.58
130605A	12.6
130604A	37.7
130603B	0.18
130603A	76
130529A	128
130528A	59.4
130527A	44
130521A	11.0
130518B	n/a
130518A	n/a
130515A	0.29
130514A	204
130511A	5.43
130508A	42
130505A	88
130504A	50
130502A	3.0
130427B	27.0
130427A	162.83
130420B	10.2
130420A	123.5
130419A	75.7
130418A	>300
130408A	28
130327A	9.0
130315A	233.4
130313A	0.26
130306A	n/a
130305A	n/a
130216B	3.7
130216A	6.5
130215A	65.7
130211A	25.1
130206A	128.0
130131B	4.30
130131A	51.6
130122A	64
130102A	77.5
121229A	n/a
121226A	1.00
121217A	778
121212A	6.8
121211A	182
121209A	42.7
121202A	20.1
121201A	85
121128A	23.3
121125A	52.2
121123A	317
121117A	30
121108A	89
121102A	24.7
121031A	226
121028A	3.8
121027A	62.6
121024A	69
121017A	4.2
121014A	80.0
121011A	75.6
121001A	147
120927A	43
120923A	27.2
120922A	173
120918A	25.1
120913B	126
120913A	30.1
120911A	17.8
120909A	n/a
120907A	16.9
120819A	71
120817B	n/a
120817A	28.2
120816A	7.6
120815A	9.7
120811C	26.8
120811A	166
120807A	20.0
120805A	48.00
120804A	0.81
120803B	37.5
120803A	10.0
120802A	50
120729A	71.5
120728A	22.06
120724A	72.8
120722A	42.4
120714B	159
120714A	16.2
120712A	14.7
120711B	60
120703A	25.2
120701A	13.8
120630A	0.6
120624B	>192
120612A	90
120521C	26.7
120521B	31.4
120521A	0.45
120514A	164.4
120422A	5.35
120404A	38.7
120403B	7.3
120403A	1.25
120401A	n/a
120328A	24.2
120327A	62.9
120326A	69.6
120324A	118
120320A	25.74
120312A	14.2
120311B	28.2
120311A	3.5
120308A	60.6
120305A	0.10
120302A	n/a
120229A	0.22
120224A	8.13
120219A	90.5
120218A	27.5
120215A	26.5
120213A	48.9
120212A	5.52
120211A	61.7
120121A	26.1
120119A	253.8
120118B	23.26
120116A	41.0
120114A	n/a
120106A	61.6
120102A	38.7
111229A	25.4
111228A	101.20
111225A	106.8
111215A	796
111212A	n/a
111210A	2.52
111209A	n/a
111208A	n/a
111207A	3
111204A	48.0
111201A	n/a
111129A	7.6
111126A	0.8
