
Catalog of Globular Cluster Systems in Galaxies

This version:  January 2013

********************************************************************************

                        COPYRIGHT NOTICE!

        THE DATA IN THIS CATALOG ARE SUPPLIED FREE OF CHARGE TO
ALL USERS.  ANY THIRD PARTY WHO SUPPLIES THIS CATALOG IN TURN TO
OTHER USERS MUST REFER TO THE ORIGINAL SOURCE, WHICH IS THIS WEBSITE,
AND MUST DO SO WITHOUT CHARGE OF ANY FEE.

*******************************************************************************

Please acknowledge the use of this catalog in any published work
you derive from it.  The proper citation is the original paper,

	Harris, W.E., Harris, G.L.H, and Alessi, M. 2013, ApJ 772, 82.

 	Explanation of table by column:
1,2:  Galaxy identification
3,4:  Galaxy right ascension (decimal hours) and declination (decimal degrees)
5:     Morphological type
6,7,8:  Galaxy distance, uncertainty, and distance estimation method adopted
9,10,11:  Foreground extinction, absolute visual magnitude, and estimated uncertainty
12,13:  Absolute K-band magnitude (near infrared) and uncertainty
14,15,16:  Estimated total number of globular clusters in the galaxy, uncertainty, and literature source (see reference list following the table)
17,18:  Velocity dispersion of the central bulge of the galaxy, and uncertainty
19,20:  Effective radius enclosing half the galaxy light, and uncertainty
21,22:  "Dynamical mass" of galaxy, defined as  (4 R_e sig_e^2 / G), and uncertainty
23,24:  Calculated total mass in the globular cluster system, and uncertainty
25,26,27:  Mass of central black hole in the galaxy, and upper and lower uncertainties


 Galaxy      Other ID                RA         DEC      Type       D       +-     Method        A_V     M_V^T    +-     M_K      +-       N(GC)     +-    Source      sig_e    +-       R_e     +-    lg M_d     +-     lg M_G    +-    lg M_B    +      -
                                     hr         deg                Mpc                                                                                                 km/s              kpc            M_sun             M_sun           M_sun

MilkyWay         nid                 nd          nd       Sbc       nd      nd    geometry      0.000  -21.300   0.300   nd       nd       160.0    10.0   44         105.00   20.00    0.70    0.10    9.856    0.116    7.66    0.03    6.61    0.04    0.04
NGC1023A          nid             2.6771376   39.0575235  dIrr    11.43    1.00   SBF           0.202  -15.550   0.530   nd       nd         5.7     2.5   100a         nd      nd      nd      nd      nd       nd       5.93    0.16    nd      nd      nd
NGC1052          nid              2.6846621   -8.2558045  E4      19.35    1.06   SBF           0.088  -21.050   0.200 -23.992   0.101     400.0    45.0   33         206.90    4.00    3.16    0.17   11.100    0.026    8.04    0.05    0.00    8.53    0.00
NGC1055          nid              2.6958209    0.4431773  Sb      19.00    4.00   TF            0.109  -21.300   0.200 -24.255   0.104     210.0    40.0   100a        80.00   15.00    nd      nd      nd       nd       7.78    0.08    nd      nd      nd  
NGC1132          nid              2.8810505   -1.2746379  E       96.09    4.80   Hubble        0.209  -22.760   0.200 -25.674   0.105    3613.0   295.0   1b         246.00    8.70   15.68    1.00   11.946    0.036    9.10    0.03    nd      nd      nd  
UGC-2413       A397-1             2.9413222   15.9161389  E      145.20   10.20   Hubble        0.387  -22.450   0.200 -25.753   0.107    3020.0   840.0   7          289.00   11.00    nd      nd      nd       nd       9.01    0.11    nd      nd      nd  
ESO-154-023        nid            2.9472711  -54.5706416  Sbsm     5.90    0.50   TRGB          0.046  -16.380   0.300   nd       nd         3.0     1.0   37           nd      nd      1.67    0.20    nd       nd       5.68    0.12    nd      nd      nd  
NGC1172          nid              3.0266750  -14.8366111  E       21.48    2.07   SBF           0.211  -20.010   0.280 -22.468   0.105     365.0    25.0   18         112.40    4.40    4.02    0.39   10.674    0.046    7.94    0.03    nd      nd      nd  
NGC1201          nid              3.0688995  -26.0696616  S0      20.23    3.00   SBF           0.053  -20.860   0.360 -23.860   0.102     230.0    80.0   61         166.60    4.20    2.51    0.37   10.812    0.061    7.79    0.13    nd      nd      nd  
NGC1313          nid              3.3043271  -66.4975862  SBcd     4.16    0.08   TRGB          0.299  -19.750   0.240 -20.560   0.115       7.0     4.0   70           nd      nd      1.71    0.12    nd       nd       6.21    0.20    nd      nd      nd  
NGC1275        PerseusA           3.3300725   41.5115451  Ep      72.90    3.65   Hubble        0.446  -22.690   0.200 -26.236   0.107    7800.0  2500.0   43a/55a    258.90   13.40    5.96    0.60   11.570    0.051    9.43    0.12    nd      nd      nd  
NGC1311          nid              3.3352771  -52.1858237  SBm      5.45    0.50   TRGB          0.058  -15.760   0.200 -17.767   0.145       5.0     2.0   37           nd      nd      0.56    0.10    nd       nd       5.88    0.15    nd      nd      nd  
ESO-301-G08    FCC-19             3.3729718  -37.3976383  dS0     20.27    0.70   SBF           0.054  -17.010   0.200   nd       nd        16.0     5.0   55           nd      nd      1.28    0.04    nd       nd       6.44    0.12    nd      nd      nd  
NGC1316        FCC-21/ForA        3.3782565  -37.2082112  S0      21.09    0.30   SBF           0.069  -23.160   0.200 -26.041   0.102    1000.0   500.0   38/98      227.70    3.10   10.19    0.14   11.692    0.010    8.57    0.18    8.24    0.17    0.23
FCC-0025        nid               3.3926111  -36.9838889  dE0N    20.00    2.00   Fornax        0.057  -14.470   0.200   nd       nd         3.1     4.5   67           nd      nd      nd      nd      nd       nd       5.62    0.39    nd      nd      nd  
ESO-357-G25    FCC-26             3.3936816  -35.7783680  SB0     19.85    1.31   SBF           0.043  -17.400   0.200 -18.750   0.193      22.0     7.0   55           nd      nd      0.74    0.05    nd       nd       6.59    0.12    nd      nd      nd  
ESO-358-G01    FCC-43             3.4339560  -32.8944454  dS0     19.23    1.42   SBF           0.039  -18.600   0.200 -20.660   0.124      37.0    15.0   55          52.90    4.60    1.81    0.13    9.674    0.058    6.87    0.15    nd      nd      nd  
IC1919         FCC-43             3.4339560  -32.8944454  E/S0    19.23    1.42   SBF           0.039  -18.310   0.200 -20.660   0.124      21.0    10.0   61          52.90    4.60    1.81    0.13    9.674    0.058    6.61    0.17    nd      nd      nd  
NGC1332          nid              3.4381105  -21.3352765  S0      22.91    0.20   SBF           0.108  -21.620   0.200 -24.760   0.102    1000.0   500.0   61         320.90   13.70    2.75    0.02   11.420    0.026    8.47    0.18    9.17    0.06    0.06
FCC-0046        nid               3.4402778  -37.1280556  dE4     30.20    2.20   SBF           0.051  -16.570   0.200 -19.443   0.211       9.9     5.3   67          61.00    5.00    nd      nd      nd       nd       6.21    0.19    nd      nd      nd  
NGC1336        FCC-47             3.4422764  -35.7136610  E4      18.74    0.28   SBF           0.037  -19.140   0.200 -21.562   0.114     276.0   100.0   55         101.20    3.90    2.32    0.04   10.344    0.024    7.78    0.13    nd      nd      nd  
ESO-358-G06    FCC-55             3.4550066  -34.5263921  S0      19.18    1.13   SBF           0.027  -18.430   0.200 -20.795   0.114      37.0    15.0   55          45.80    1.20    1.20    0.07    9.369    0.029    6.87    0.15    nd      nd      nd  
